time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT
"2013-08-13 15_46_21","6023","6202","31"
"2013-08-13 15_46_21","5463","6463","24"
"2013-08-13 15_46_22","5463","6504","48"
"2013-08-13 15_46_23","5463","6501","42"
"2013-08-13 15_46_23","5463","6489","36"
"2013-08-13 15_46_24","5463","6505","29"
"2013-08-13 15_46_24","829","892","46"
"2013-08-13 15_46_24","5463","6509","28"
"2013-08-13 15_46_25","5463","6502","23"
"2013-08-13 15_46_26","5463","6503","34"
"2013-08-13 15_46_26","5463","6448","39"
"2013-08-13 15_46_27","5499","6506","49"
"2013-08-13 15_46_27","4887","6512","43"
"2013-08-13 15_46_28","4887","6702","44"
"2013-08-13 15_46_28","590","693","22"
"2013-08-13 15_46_29","4887","7103","30"
"2013-08-13 15_46_29","4887","7195","40"
"2013-08-13 15_46_30","4887","7620","26"
"2013-08-13 15_46_30","4311","7681","47"
"2013-08-13 15_46_31","4887","7141","27"
"2013-08-13 15_46_32","5463","7002","25"
"2013-08-13 15_46_32","6039","7004","32"
"2013-08-13 15_46_33","6039","7002","33"
"2013-08-13 15_46_33","6039","7004","35"
"2013-08-13 15_46_34","823","906","42"
"2013-08-13 15_46_34","6039","7004","38"
"2013-08-13 15_46_35","6039","6407","37"
"2013-08-13 15_46_35","5957","6402","21"
"2013-08-13 15_46_36","6039","6404","41"
"2013-08-13 15_46_36","6039","6413","45"
"2013-08-13 15_46_37","6039","6401","50"
"2013-08-13 15_46_38","6039","6419","31"
"2013-08-13 15_46_38","6318","6390","24"
"2013-08-13 15_46_39","6615","6410","48"
"2013-08-13 15_46_39","7191","5801","36"
"2013-08-13 15_46_40","6678","5805","29"
"2013-08-13 15_46_41","6615","5900","46"
"2013-08-13 15_46_41","6615","6403","28"
"2013-08-13 15_46_42","6615","6404","23"
"2013-08-13 15_46_42","6615","6408","34"
"2013-08-13 15_46_43","6615","6372","39"
"2013-08-13 15_46_44","6615","6430","49"
"2013-08-13 15_46_44","6615","6386","43"
"2013-08-13 15_46_45","6039","6402","44"
"2013-08-13 15_46_45","6615","6594","22"
"2013-08-13 15_46_46","6039","7000","30"
"2013-08-13 15_46_47","6039","7005","40"
"2013-08-13 15_46_47","6039","7017","26"
"2013-08-13 15_46_48","6039","7004","47"
"2013-08-13 15_46_48","6039","7003","27"
"2013-08-13 15_46_49","6039","6975","25"
"2013-08-13 15_46_50","6039","7042","32"
"2013-08-13 15_46_50","6026","7199","33"
"2013-08-13 15_46_51","5463","7101","35"
"2013-08-13 15_46_51","5463","7206","42"
"2013-08-13 15_46_52","5463","7707","38"
"2013-08-13 15_46_53","5463","7703","37"
"2013-08-13 15_46_53","6039","7802","21"
"2013-08-13 15_46_54","6039","7730","41"
"2013-08-13 15_46_54","6039","7614","45"
"2013-08-13 15_46_55","6039","7713","50"
"2013-08-13 15_46_56","6039","7619","31"
"2013-08-13 15_46_56","6039","7706","24"
"2013-08-13 15_46_57","6039","7702","48"
"2013-08-13 15_46_57","6594","7725","36"
"2013-08-13 15_46_58","6615","7691","29"
"2013-08-13 15_46_59","6615","7699","46"
"2013-08-13 15_46_59","6615","7706","28"
"2013-08-13 15_47_00","6615","7705","23"
"2013-08-13 15_47_00","829","915","25"
"2013-08-13 15_47_00","6594","7671","34"
"2013-08-13 15_47_01","6615","7706","39"
"2013-08-13 15_47_02","6615","7736","49"
"2013-08-13 15_47_02","6615","7702","43"
"2013-08-13 15_47_03","7191","7702","44"
"2013-08-13 15_47_03","7191","7685","22"
"2013-08-13 15_47_04","7191","7680","30"
"2013-08-13 15_47_05","7191","7701","40"
"2013-08-13 15_47_05","7191","7707","26"
"2013-08-13 15_47_06","7191","7703","47"
"2013-08-13 15_47_06","7191","7702","27"
"2013-08-13 15_47_07","7191","7110","32"
"2013-08-13 15_47_08","7191","7007","33"
"2013-08-13 15_47_08","7191","7000","35"
"2013-08-13 15_47_09","7191","6994","42"
"2013-08-13 15_47_09","7178","7005","38"
"2013-08-13 15_47_10","7191","7024","37"
"2013-08-13 15_47_11","7191","7103","21"
"2013-08-13 15_47_11","7191","7003","41"
"2013-08-13 15_47_12","7191","7003","45"
"2013-08-13 15_47_12","7191","7002","50"
"2013-08-13 15_47_13","7191","6996","31"
"2013-08-13 15_47_14","7191","7002","24"
"2013-08-13 15_47_14","7191","7102","48"
"2013-08-13 15_47_15","7191","7002","36"
"2013-08-13 15_47_15","7191","7070","29"
"2013-08-13 15_47_16","7191","7100","46"
"2013-08-13 15_47_17","7191","7199","28"
"2013-08-13 15_47_17","6615","7068","23"
"2013-08-13 15_47_18","7191","7329","25"
"2013-08-13 15_47_19","6615","7702","34"
"2013-08-13 15_47_19","6615","7702","39"
"2013-08-13 15_47_20","6615","7701","49"
"2013-08-13 15_47_20","6615","7698","43"
"2013-08-13 15_47_21","892","1041","38"
"2013-08-13 15_47_21","6615","7700","44"
"2013-08-13 15_47_22","6615","7739","22"
"2013-08-13 15_47_22","6615","7702","30"
"2013-08-13 15_47_23","6615","7714","40"
"2013-08-13 15_47_23","6615","7713","26"
"2013-08-13 15_47_24","738","873","50"
"2013-08-13 15_47_24","6678","7715","47"
"2013-08-13 15_47_25","6615","7702","27"
"2013-08-13 15_47_25","6615","7703","32"
"2013-08-13 15_47_26","6615","7707","33"
"2013-08-13 15_47_26","6615","7693","35"
"2013-08-13 15_47_27","6615","7655","42"
"2013-08-13 15_47_28","6615","7104","37"
"2013-08-13 15_47_28","6615","7088","21"
"2013-08-13 15_47_29","7227","7103","41"
"2013-08-13 15_47_29","719","801","25"
"2013-08-13 15_47_29","7191","7101","45"
"2013-08-13 15_47_30","7191","6592","31"
"2013-08-13 15_47_31","7191","6501","24"
"2013-08-13 15_47_31","7191","6504","48"
"2013-08-13 15_47_32","7191","6500","36"
"2013-08-13 15_47_32","719","811","44"
"2013-08-13 15_47_32","7191","6512","29"
"2013-08-13 15_47_33","7191","6404","46"
"2013-08-13 15_47_34","7191","6407","28"
"2013-08-13 15_47_34","7191","6408","23"
"2013-08-13 15_47_35","7191","5803","34"
"2013-08-13 15_47_35","7191","5779","39"
"2013-08-13 15_47_36","7191","5801","49"
"2013-08-13 15_47_37","6615","5804","43"
"2013-08-13 15_47_37","6594","5903","38"
"2013-08-13 15_47_38","6615","5780","22"
"2013-08-13 15_47_38","6615","5811","30"
"2013-08-13 15_47_39","6615","5802","40"
"2013-08-13 15_47_40","6039","5807","26"
"2013-08-13 15_47_40","6615","5995","50"
"2013-08-13 15_47_41","6039","6479","47"
"2013-08-13 15_47_41","6039","6404","27"
"2013-08-13 15_47_42","6039","6403","32"
"2013-08-13 15_47_43","6039","6403","33"
"2013-08-13 15_47_43","5942","6381","35"
"2013-08-13 15_47_44","6039","6408","42"
"2013-08-13 15_47_44","6039","6410","37"
"2013-08-13 15_47_45","6039","6437","21"
"2013-08-13 15_47_46","5463","6403","41"
"2013-08-13 15_47_46","6039","6605","25"
"2013-08-13 15_47_47","5463","7011","45"
"2013-08-13 15_47_47","5463","7054","31"
"2013-08-13 15_47_48","5463","7101","24"
"2013-08-13 15_47_49","5463","7104","48"
"2013-08-13 15_47_49","5463","7104","36"
"2013-08-13 15_47_50","5463","7300","44"
"2013-08-13 15_47_50","5463","7707","29"
"2013-08-13 15_47_51","5463","7702","46"
"2013-08-13 15_47_52","5463","7704","28"
"2013-08-13 15_47_52","5463","7704","23"
"2013-08-13 15_47_53","6039","7711","34"
"2013-08-13 15_47_53","6039","7701","39"
"2013-08-13 15_47_54","6102","7704","49"
"2013-08-13 15_47_55","6039","7733","43"
"2013-08-13 15_47_55","6039","7659","38"
"2013-08-13 15_47_56","6102","7813","22"
"2013-08-13 15_47_56","6039","7701","30"
"2013-08-13 15_47_57","6039","7670","40"
"2013-08-13 15_47_58","6039","7702","26"
"2013-08-13 15_47_58","6615","7706","50"
"2013-08-13 15_47_59","6646","7706","47"
"2013-08-13 15_47_59","6678","7704","27"
"2013-08-13 15_48_00","6615","7694","32"
"2013-08-13 15_48_01","6646","7702","33"
"2013-08-13 15_48_01","7191","7703","35"
"2013-08-13 15_48_02","7191","7799","42"
"2013-08-13 15_48_02","7191","7698","37"
"2013-08-13 15_48_03","7254","7595","21"
"2013-08-13 15_48_04","7191","7702","41"
"2013-08-13 15_48_04","7191","7703","25"
"2013-08-13 15_48_05","7191","7703","45"
"2013-08-13 15_48_05","7191","7703","31"
"2013-08-13 15_48_06","7191","7619","24"
"2013-08-13 15_48_07","7191","7605","48"
"2013-08-13 15_48_07","7191","7603","36"
"2013-08-13 15_48_08","7191","7619","44"
"2013-08-13 15_48_08","7191","7604","29"
"2013-08-13 15_48_09","7191","7604","46"
"2013-08-13 15_48_10","7191","7601","28"
"2013-08-13 15_48_10","7191","7603","23"
"2013-08-13 15_48_11","7191","7602","34"
"2013-08-13 15_48_11","851","968","32"
"2013-08-13 15_48_11","7191","7607","39"
"2013-08-13 15_48_12","7191","7603","49"
"2013-08-13 15_48_13","7191","7690","43"
"2013-08-13 15_48_13","7191","7606","38"
"2013-08-13 15_48_14","7109","7701","22"
"2013-08-13 15_48_15","7191","7712","30"
"2013-08-13 15_48_15","7191","7701","40"
"2013-08-13 15_48_16","7191","7702","26"
"2013-08-13 15_48_16","7191","7702","50"
"2013-08-13 15_48_17","7191","7703","47"
"2013-08-13 15_48_18","7191","7702","27"
"2013-08-13 15_48_18","7191","7109","33"
"2013-08-13 15_48_19","7191","7102","35"
"2013-08-13 15_48_19","7191","7117","42"
"2013-08-13 15_48_20","7191","7042","37"
"2013-08-13 15_48_21","7191","7197","21"
"2013-08-13 15_48_21","7254","7103","41"
"2013-08-13 15_48_22","7191","7102","25"
"2013-08-13 15_48_22","7191","7103","45"
"2013-08-13 15_48_23","7191","7102","31"
"2013-08-13 15_48_24","7191","7101","24"
"2013-08-13 15_48_24","719","800","43"
"2013-08-13 15_48_24","7191","7103","48"
"2013-08-13 15_48_25","7191","7120","36"
"2013-08-13 15_48_25","7191","7102","44"
"2013-08-13 15_48_26","7191","7108","29"
"2013-08-13 15_48_27","7222","7092","46"
"2013-08-13 15_48_27","7191","7103","28"
"2013-08-13 15_48_28","7191","7104","23"
"2013-08-13 15_48_28","6615","7102","34"
"2013-08-13 15_48_29","6615","7111","39"
"2013-08-13 15_48_29","920","1055","27"
"2013-08-13 15_48_30","6615","7703","32"
"2013-08-13 15_48_30","6615","7707","49"
"2013-08-13 15_48_31","6615","7009","38"
"2013-08-13 15_48_31","6615","7005","22"
"2013-08-13 15_48_32","6615","6970","30"
"2013-08-13 15_48_33","6615","7003","40"
"2013-08-13 15_48_33","6615","7002","26"
"2013-08-13 15_48_34","6615","7001","50"
"2013-08-13 15_48_34","6615","7005","47"
"2013-08-13 15_48_35","6615","6405","33"
"2013-08-13 15_48_36","6615","6369","35"
"2013-08-13 15_48_36","6678","6401","42"
"2013-08-13 15_48_37","6615","6406","37"
"2013-08-13 15_48_37","6615","6403","21"
"2013-08-13 15_48_38","6615","6404","41"
"2013-08-13 15_48_39","6678","6404","25"
"2013-08-13 15_48_39","7191","6403","45"
"2013-08-13 15_48_40","7191","6404","31"
"2013-08-13 15_48_40","6615","6403","24"
"2013-08-13 15_48_41","6615","6703","43"
"2013-08-13 15_48_41","719","799","49"
"2013-08-13 15_48_42","6615","7010","48"
"2013-08-13 15_48_42","6615","7003","36"
"2013-08-13 15_48_43","6615","7003","44"
"2013-08-13 15_48_43","6678","7003","29"
"2013-08-13 15_48_44","6615","7018","46"
"2013-08-13 15_48_45","6615","7026","28"
"2013-08-13 15_48_45","6615","7004","23"
"2013-08-13 15_48_46","6039","7002","34"
"2013-08-13 15_48_46","6039","7004","27"
"2013-08-13 15_48_47","6039","7604","39"
"2013-08-13 15_48_48","6039","7571","32"
"2013-08-13 15_48_48","6039","7003","38"
"2013-08-13 15_48_49","6075","7004","22"
"2013-08-13 15_48_49","6039","7005","30"
"2013-08-13 15_48_50","6039","7004","40"
"2013-08-13 15_48_51","6039","7011","26"
"2013-08-13 15_48_51","6039","7003","50"
"2013-08-13 15_48_52","6039","6998","47"
"2013-08-13 15_48_52","6615","7025","33"
"2013-08-13 15_48_53","6615","7004","35"
"2013-08-13 15_48_54","6615","7003","42"
"2013-08-13 15_48_54","6615","7004","37"
"2013-08-13 15_48_55","6615","7004","21"
"2013-08-13 15_48_55","6615","7006","41"
"2013-08-13 15_48_56","6615","6994","25"
"2013-08-13 15_48_57","6615","7005","45"
"2013-08-13 15_48_57","6615","7004","31"
"2013-08-13 15_48_58","7191","7002","24"
"2013-08-13 15_48_58","6615","7002","43"
"2013-08-13 15_48_59","7191","7201","49"
"2013-08-13 15_49_00","6615","7604","48"
"2013-08-13 15_49_00","6615","7607","36"
"2013-08-13 15_49_01","6646","7606","44"
"2013-08-13 15_49_01","6615","7603","29"
"2013-08-13 15_49_02","6615","7603","46"
"2013-08-13 15_49_03","6615","7609","28"
"2013-08-13 15_49_03","6615","7603","23"
"2013-08-13 15_49_04","6615","7606","34"
"2013-08-13 15_49_04","857","900","35"
"2013-08-13 15_49_04","6678","7620","27"
"2013-08-13 15_49_05","6615","7599","39"
"2013-08-13 15_49_06","6615","7601","32"
"2013-08-13 15_49_06","6615","7605","38"
"2013-08-13 15_49_07","829","901","41"
"2013-08-13 15_49_07","6615","7606","22"
"2013-08-13 15_49_07","6615","7603","30"
"2013-08-13 15_49_08","6615","7622","40"
"2013-08-13 15_49_09","6615","7604","26"
"2013-08-13 15_49_09","6615","7609","50"
"2013-08-13 15_49_10","6615","7601","47"
"2013-08-13 15_49_10","7191","7600","33"
"2013-08-13 15_49_11","7191","7002","42"
"2013-08-13 15_49_12","7191","7008","37"
"2013-08-13 15_49_12","7191","7003","21"
"2013-08-13 15_49_13","829","901","29"
"2013-08-13 15_49_13","7222","6403","25"
"2013-08-13 15_49_13","7191","6393","45"
"2013-08-13 15_49_14","7191","6427","31"
"2013-08-13 15_49_15","7170","6386","24"
"2013-08-13 15_49_15","7191","6403","43"
"2013-08-13 15_49_16","7191","6403","49"
"2013-08-13 15_49_16","7191","6403","48"
"2013-08-13 15_49_17","7191","6432","36"
"2013-08-13 15_49_18","7191","6404","44"
"2013-08-13 15_49_18","7191","5741","46"
"2013-08-13 15_49_19","7191","5813","28"
"2013-08-13 15_49_19","7191","5736","23"
"2013-08-13 15_49_20","6615","5901","34"
"2013-08-13 15_49_21","6615","5994","35"
"2013-08-13 15_49_21","829","902","47"
"2013-08-13 15_49_21","6615","6402","27"
"2013-08-13 15_49_22","6615","6404","39"
"2013-08-13 15_49_22","6615","6343","32"
"2013-08-13 15_49_23","6039","6404","38"
"2013-08-13 15_49_24","6039","6501","41"
"2013-08-13 15_49_24","6039","7004","22"
"2013-08-13 15_49_25","6039","7004","30"
"2013-08-13 15_49_25","6039","7003","40"
"2013-08-13 15_49_26","6018","7042","26"
"2013-08-13 15_49_27","6039","7003","50"
"2013-08-13 15_49_27","6102","6408","33"
"2013-08-13 15_49_28","6039","6403","42"
"2013-08-13 15_49_28","6039","6406","37"
"2013-08-13 15_49_29","5463","6404","21"
"2013-08-13 15_49_30","5463","6502","29"
"2013-08-13 15_49_30","5463","7003","25"
"2013-08-13 15_49_31","857","900","23"
"2013-08-13 15_49_31","5463","6903","45"
"2013-08-13 15_49_31","5463","7003","31"
"2013-08-13 15_49_32","5463","7003","24"
"2013-08-13 15_49_33","6039","7003","43"
"2013-08-13 15_49_33","6039","7004","49"
"2013-08-13 15_49_34","6039","7004","48"
"2013-08-13 15_49_34","6039","7000","36"
"2013-08-13 15_49_35","6615","7005","44"
"2013-08-13 15_49_35","851","896","22"
"2013-08-13 15_49_36","6615","7015","46"
"2013-08-13 15_49_36","6615","7005","28"
"2013-08-13 15_49_37","6615","6398","34"
"2013-08-13 15_49_37","6039","6405","35"
"2013-08-13 15_49_38","6039","6503","47"
"2013-08-13 15_49_39","6039","7005","27"
"2013-08-13 15_49_39","6039","7006","39"
"2013-08-13 15_49_40","6039","7002","32"
"2013-08-13 15_49_40","6039","7003","38"
"2013-08-13 15_49_41","6615","7039","41"
"2013-08-13 15_49_42","6615","6406","30"
"2013-08-13 15_49_42","6615","6402","40"
"2013-08-13 15_49_43","6615","6405","26"
"2013-08-13 15_49_43","6615","6404","50"
"2013-08-13 15_49_44","6615","6413","33"
"2013-08-13 15_49_45","6594","6407","42"
"2013-08-13 15_49_45","6615","6405","37"
"2013-08-13 15_49_46","6615","6404","21"
"2013-08-13 15_49_46","6615","6389","29"
"2013-08-13 15_49_47","813","936","22"
"2013-08-13 15_49_47","6070","6410","25"
"2013-08-13 15_49_48","6039","6503","23"
"2013-08-13 15_49_48","6039","7010","45"
"2013-08-13 15_49_49","6039","7013","31"
"2013-08-13 15_49_49","6646","7018","24"
"2013-08-13 15_49_50","6615","7033","43"
"2013-08-13 15_49_51","6615","7102","49"
"2013-08-13 15_49_51","6599","7101","48"
"2013-08-13 15_49_52","6615","7103","36"
"2013-08-13 15_49_52","6039","7101","44"
"2013-08-13 15_49_53","6039","7104","46"
"2013-08-13 15_49_54","6039","7107","28"
"2013-08-13 15_49_54","6039","7107","34"
"2013-08-13 15_49_55","6039","7101","35"
"2013-08-13 15_49_55","6039","7102","47"
"2013-08-13 15_49_56","6039","7201","27"
"2013-08-13 15_49_57","6039","7103","39"
"2013-08-13 15_49_57","6039","7119","32"
"2013-08-13 15_49_58","5957","7095","38"
"2013-08-13 15_49_58","6039","7087","41"
"2013-08-13 15_49_59","6615","7121","30"
"2013-08-13 15_49_59","823","901","45"
"2013-08-13 15_50_00","6615","7101","40"
"2013-08-13 15_50_00","6615","7113","26"
"2013-08-13 15_50_01","6615","7103","50"
"2013-08-13 15_50_01","6615","7105","33"
"2013-08-13 15_50_02","6615","7106","42"
"2013-08-13 15_50_03","6615","7104","37"
"2013-08-13 15_50_03","6615","7114","21"
"2013-08-13 15_50_04","6615","7104","29"
"2013-08-13 15_50_04","7191","7187","22"
"2013-08-13 15_50_05","6615","7701","25"
"2013-08-13 15_50_06","6615","7704","23"
"2013-08-13 15_50_06","6615","7109","31"
"2013-08-13 15_50_07","6615","7139","24"
"2013-08-13 15_50_08","6615","7207","43"
"2013-08-13 15_50_08","6615","7102","49"
"2013-08-13 15_50_09","6615","7104","48"
"2013-08-13 15_50_09","6615","7103","36"
"2013-08-13 15_50_10","6615","7100","44"
"2013-08-13 15_50_11","6615","7104","46"
"2013-08-13 15_50_11","6615","7110","28"
"2013-08-13 15_50_12","6615","7110","34"
"2013-08-13 15_50_12","6615","7107","35"
"2013-08-13 15_50_13","6615","7103","47"
"2013-08-13 15_50_14","6615","7105","27"
"2013-08-13 15_50_14","6615","7092","39"
"2013-08-13 15_50_15","6894","7102","32"
"2013-08-13 15_50_15","7191","7103","38"
"2013-08-13 15_50_16","7191","7107","41"
"2013-08-13 15_50_17","6615","7109","30"
"2013-08-13 15_50_17","7191","7304","45"
"2013-08-13 15_50_18","6615","7703","40"
"2013-08-13 15_50_18","6615","7713","26"
"2013-08-13 15_50_19","6615","7705","50"
"2013-08-13 15_50_20","6615","7704","33"
"2013-08-13 15_50_20","6615","7702","42"
"2013-08-13 15_50_21","829","901","36"
"2013-08-13 15_50_21","6615","7704","37"
"2013-08-13 15_50_21","6518","7704","21"
"2013-08-13 15_50_22","6615","7705","29"
"2013-08-13 15_50_23","6615","7695","22"
"2013-08-13 15_50_23","6615","7716","25"
"2013-08-13 15_50_24","6615","7709","23"
"2013-08-13 15_50_24","6615","7704","31"
"2013-08-13 15_50_25","6615","7709","24"
"2013-08-13 15_50_26","6615","7607","43"
"2013-08-13 15_50_26","6615","7607","49"
"2013-08-13 15_50_27","6615","7603","48"
"2013-08-13 15_50_27","6894","7004","44"
"2013-08-13 15_50_28","7191","7004","46"
"2013-08-13 15_50_29","7191","7000","28"
"2013-08-13 15_50_29","7191","7007","34"
"2013-08-13 15_50_30","7191","7051","35"
"2013-08-13 15_50_30","7191","7012","47"
"2013-08-13 15_50_31","7191","7011","27"
"2013-08-13 15_50_32","7191","7005","39"
"2013-08-13 15_50_32","7191","6977","32"
"2013-08-13 15_50_33","7191","7005","38"
"2013-08-13 15_50_33","7191","7004","41"
"2013-08-13 15_50_34","7191","7006","30"
"2013-08-13 15_50_35","7191","7003","45"
"2013-08-13 15_50_35","7191","7004","40"
"2013-08-13 15_50_36","7191","7002","26"
"2013-08-13 15_50_36","7191","7006","50"
"2013-08-13 15_50_37","7191","7005","33"
"2013-08-13 15_50_38","6615","6956","42"
"2013-08-13 15_50_38","6615","7104","36"
"2013-08-13 15_50_39","6615","7603","37"
"2013-08-13 15_50_39","6615","7605","21"
"2013-08-13 15_50_40","6615","7612","29"
"2013-08-13 15_50_41","6615","7614","22"
"2013-08-13 15_50_41","6615","7607","25"
"2013-08-13 15_50_42","6615","7603","23"
"2013-08-13 15_50_42","6615","7602","31"
"2013-08-13 15_50_43","6615","7605","24"
"2013-08-13 15_50_44","6615","7600","43"
"2013-08-13 15_50_44","6615","7612","49"
"2013-08-13 15_50_45","6615","7602","48"
"2013-08-13 15_50_45","6615","7612","44"
"2013-08-13 15_50_46","6615","7605","46"
"2013-08-13 15_50_47","6615","7602","28"
"2013-08-13 15_50_47","6615","7607","34"
"2013-08-13 15_50_48","6615","7621","35"
"2013-08-13 15_50_48","6615","7605","47"
"2013-08-13 15_50_49","6615","7617","27"
"2013-08-13 15_50_50","7191","7606","39"
"2013-08-13 15_50_50","7191","7601","32"
"2013-08-13 15_50_51","7191","7602","38"
"2013-08-13 15_50_51","7191","7703","41"
"2013-08-13 15_50_52","7191","7604","30"
"2013-08-13 15_50_53","7191","7696","45"
"2013-08-13 15_50_53","7191","7605","40"
"2013-08-13 15_50_54","7191","7606","26"
"2013-08-13 15_50_54","7191","7618","50"
"2013-08-13 15_50_55","7191","7630","33"
"2013-08-13 15_50_56","7191","7607","42"
"2013-08-13 15_50_56","7191","7605","36"
"2013-08-13 15_50_57","7191","7606","37"
"2013-08-13 15_50_57","7191","7720","21"
"2013-08-13 15_50_58","7191","7702","29"
"2013-08-13 15_50_59","7191","7885","22"
"2013-08-13 15_50_59","7191","7704","25"
"2013-08-13 15_51_00","7191","7704","23"
"2013-08-13 15_51_00","7191","7727","31"
"2013-08-13 15_51_01","7191","7750","24"
"2013-08-13 15_51_02","7191","7713","43"
"2013-08-13 15_51_02","7222","7709","49"
"2013-08-13 15_51_03","7191","7712","48"
"2013-08-13 15_51_03","7191","7709","44"
"2013-08-13 15_51_04","7191","7704","46"
"2013-08-13 15_51_05","7191","7732","28"
"2013-08-13 15_51_05","7191","7712","34"
"2013-08-13 15_51_06","7191","7807","35"
"2013-08-13 15_51_06","7191","7733","47"
"2013-08-13 15_51_07","7191","7709","27"
"2013-08-13 15_51_08","7191","7722","39"
"2013-08-13 15_51_08","7191","7774","32"
"2013-08-13 15_51_09","7191","7730","38"
"2013-08-13 15_51_10","7191","7785","41"
"2013-08-13 15_51_10","823","900","22"
"2013-08-13 15_51_10","7191","7801","30"
"2013-08-13 15_51_11","7191","7798","45"
"2013-08-13 15_51_11","7191","7805","40"
"2013-08-13 15_51_12","7191","7806","26"
"2013-08-13 15_51_13","7191","7796","50"
"2013-08-13 15_51_13","7191","7802","33"
"2013-08-13 15_51_14","7191","7803","42"
"2013-08-13 15_51_14","7191","7807","36"
"2013-08-13 15_51_15","7191","7804","37"
"2013-08-13 15_51_16","7191","7809","21"
"2013-08-13 15_51_16","7191","7708","29"
"2013-08-13 15_51_17","829","904","34"
"2013-08-13 15_51_17","7191","7101","25"
