time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT
"2013-08-13 11_21_05","2026","4102","15"
"2013-08-13 11_21_05","2031","4004","22"
"2013-08-13 11_21_05","1202","974","35"
"2013-08-13 11_21_06","2031","4203","17"
"2013-08-13 11_21_06","2031","4099","38"
"2013-08-13 11_21_07","2346","4195","11"
"2013-08-13 11_21_07","2661","4099","27"
"2013-08-13 11_21_08","2661","4104","30"
"2013-08-13 11_21_08","2661","4104","36"
"2013-08-13 11_21_09","2775","3601","20"
"2013-08-13 11_21_09","716","805","33"
"2013-08-13 11_21_09","2460","3606","25"
"2013-08-13 11_21_10","2346","3600","21"
"2013-08-13 11_21_10","2346","3696","24"
"2013-08-13 11_21_11","2460","3999","29"
"2013-08-13 11_21_11","2889","4099","31"
"2013-08-13 11_21_12","2460","4103","37"
"2013-08-13 11_21_12","2460","3600","34"
"2013-08-13 11_21_13","2460","3600","14"
"2013-08-13 11_21_13","2889","3598","26"
"2013-08-13 11_21_14","2889","3744","40"
"2013-08-13 11_21_14","3318","3609","19"
"2013-08-13 11_21_15","3318","3603","39"
"2013-08-13 11_21_15","3318","3603","16"
"2013-08-13 11_21_16","3318","3624","28"
"2013-08-13 11_21_16","3318","3604","32"
"2013-08-13 11_21_17","3318","3699","23"
"2013-08-13 11_21_17","3318","3601","13"
"2013-08-13 11_21_18","3318","3702","12"
"2013-08-13 11_21_18","3318","3611","18"
"2013-08-13 11_21_18","887","998","27"
"2013-08-13 11_21_19","3313","3663","15"
"2013-08-13 11_21_19","2889","3600","22"
"2013-08-13 11_21_20","2889","3798","35"
"2013-08-13 11_21_20","2889","4071","17"
"2013-08-13 11_21_21","2889","4103","38"
"2013-08-13 11_21_21","3204","4126","11"
"2013-08-13 11_21_22","3318","3599","30"
"2013-08-13 11_21_22","3318","3690","36"
"2013-08-13 11_21_23","2889","3630","20"
"2013-08-13 11_21_23","3313","3902","33"
"2013-08-13 11_21_24","2889","4106","25"
"2013-08-13 11_21_24","2889","4101","21"
"2013-08-13 11_21_25","2889","4190","24"
"2013-08-13 11_21_25","2889","4099","29"
"2013-08-13 11_21_26","2740","4101","31"
"2013-08-13 11_21_26","2889","4070","37"
"2013-08-13 11_21_27","2884","4102","34"
"2013-08-13 11_21_27","2889","4103","14"
"2013-08-13 11_21_28","2889","4102","26"
"2013-08-13 11_21_28","2889","4101","40"
"2013-08-13 11_21_29","2889","4102","19"
"2013-08-13 11_21_29","2889","4101","39"
"2013-08-13 11_21_30","2889","4101","16"
"2013-08-13 11_21_30","2889","4101","28"
"2013-08-13 11_21_31","3204","4206","32"
"2013-08-13 11_21_31","3318","4106","23"
"2013-08-13 11_21_32","3313","4200","13"
"2013-08-13 11_21_32","3318","4101","12"
"2013-08-13 11_21_33","2889","4085","18"
"2013-08-13 11_21_33","2889","4196","27"
"2013-08-13 11_21_34","2889","4601","15"
"2013-08-13 11_21_34","2889","4594","22"
"2013-08-13 11_21_35","3318","4601","35"
"2013-08-13 11_21_35","3318","4607","17"
"2013-08-13 11_21_36","3318","4600","38"
"2013-08-13 11_21_36","3318","4602","11"
"2013-08-13 11_21_37","3747","4600","30"
"2013-08-13 11_21_37","3318","4592","36"
"2013-08-13 11_21_38","3318","4628","20"
"2013-08-13 11_21_38","3318","4605","33"
"2013-08-13 11_21_39","3318","4598","25"
"2013-08-13 11_21_39","3318","4611","21"
"2013-08-13 11_21_40","3318","4605","24"
"2013-08-13 11_21_40","3318","4597","29"
"2013-08-13 11_21_41","3318","4616","31"
"2013-08-13 11_21_41","3318","4598","37"
"2013-08-13 11_21_42","3318","4605","34"
"2013-08-13 11_21_42","3318","4599","14"
"2013-08-13 11_21_43","3318","4597","26"
"2013-08-13 11_21_43","3318","4595","40"
"2013-08-13 11_21_44","3318","4597","19"
"2013-08-13 11_21_44","3633","4616","39"
"2013-08-13 11_21_45","3747","4600","16"
"2013-08-13 11_21_45","3747","4601","28"
"2013-08-13 11_21_46","3747","4602","32"
"2013-08-13 11_21_46","3747","4585","23"
"2013-08-13 11_21_47","3747","4600","13"
"2013-08-13 11_21_47","3747","4601","12"
"2013-08-13 11_21_48","3747","4598","18"
"2013-08-13 11_21_48","3747","4599","27"
"2013-08-13 11_21_49","3747","4603","15"
"2013-08-13 11_21_49","3747","4601","22"
"2013-08-13 11_21_50","3747","4601","35"
"2013-08-13 11_21_50","3747","4598","17"
"2013-08-13 11_21_51","3747","4598","38"
"2013-08-13 11_21_51","3747","4600","11"
"2013-08-13 11_21_52","3747","4600","30"
"2013-08-13 11_21_52","3747","4619","36"
"2013-08-13 11_21_53","3747","4603","20"
"2013-08-13 11_21_53","3747","4700","33"
"2013-08-13 11_21_54","3747","4604","25"
"2013-08-13 11_21_54","3747","4590","21"
"2013-08-13 11_21_55","3747","4605","24"
"2013-08-13 11_21_55","3747","4598","29"
"2013-08-13 11_21_56","3747","4594","31"
"2013-08-13 11_21_56","3747","4599","37"
"2013-08-13 11_21_57","3747","4597","34"
"2013-08-13 11_21_57","755","891","32"
"2013-08-13 11_21_57","3747","4595","14"
"2013-08-13 11_21_58","3747","4595","26"
"2013-08-13 11_21_58","3598","4593","40"
"2013-08-13 11_21_59","3747","4600","19"
"2013-08-13 11_21_59","3747","4590","39"
"2013-08-13 11_22_00","3747","4601","16"
"2013-08-13 11_22_00","3747","4605","28"
"2013-08-13 11_22_01","3747","4203","23"
"2013-08-13 11_22_01","3747","4100","13"
"2013-08-13 11_22_02","3747","4192","12"
"2013-08-13 11_22_02","3747","4099","18"
"2013-08-13 11_22_03","3747","4066","27"
"2013-08-13 11_22_03","3747","4200","15"
"2013-08-13 11_22_04","3747","4098","22"
"2013-08-13 11_22_04","3747","4201","35"
"2013-08-13 11_22_05","3747","4100","17"
"2013-08-13 11_22_05","3747","4100","38"
"2013-08-13 11_22_06","3747","4201","11"
"2013-08-13 11_22_06","3747","4101","30"
"2013-08-13 11_22_07","3747","4095","36"
"2013-08-13 11_22_07","3747","4103","20"
"2013-08-13 11_22_08","3747","4104","33"
"2013-08-13 11_22_08","4176","4110","25"
"2013-08-13 11_22_09","3747","4103","21"
"2013-08-13 11_22_09","3747","4075","24"
"2013-08-13 11_22_10","3747","4100","29"
"2013-08-13 11_22_10","3747","4096","31"
"2013-08-13 11_22_11","3747","4101","37"
"2013-08-13 11_22_11","3318","4100","34"
"2013-08-13 11_22_12","3747","4313","32"
"2013-08-13 11_22_12","3318","4600","14"
"2013-08-13 11_22_13","3318","4602","26"
"2013-08-13 11_22_13","3318","4600","40"
"2013-08-13 11_22_14","3318","4596","19"
"2013-08-13 11_22_14","3318","4699","39"
"2013-08-13 11_22_15","3318","4600","16"
"2013-08-13 11_22_15","887","990","22"
"2013-08-13 11_22_15","3318","4601","28"
"2013-08-13 11_22_16","3318","4602","23"
"2013-08-13 11_22_16","3318","4601","13"
"2013-08-13 11_22_17","3318","4599","12"
"2013-08-13 11_22_17","3318","4612","18"
"2013-08-13 11_22_17","738","816","30"
"2013-08-13 11_22_18","3169","4602","27"
"2013-08-13 11_22_18","3318","4612","15"
"2013-08-13 11_22_19","3318","4096","35"
"2013-08-13 11_22_19","3318","4102","17"
"2013-08-13 11_22_20","3318","4101","38"
"2013-08-13 11_22_20","3318","4196","11"
"2013-08-13 11_22_21","3318","3590","36"
"2013-08-13 11_22_21","3318","3681","20"
"2013-08-13 11_22_22","3633","3602","33"
"2013-08-13 11_22_22","3747","3595","25"
"2013-08-13 11_22_23","3747","3600","21"
"2013-08-13 11_22_23","3747","3601","24"
"2013-08-13 11_22_24","3747","3718","29"
"2013-08-13 11_22_24","3747","3599","31"
"2013-08-13 11_22_25","3747","3599","37"
"2013-08-13 11_22_25","3747","3603","34"
"2013-08-13 11_22_26","3747","3583","32"
"2013-08-13 11_22_26","3747","3601","14"
"2013-08-13 11_22_27","3747","3599","26"
"2013-08-13 11_22_27","4176","3600","40"
"2013-08-13 11_22_28","3747","3698","19"
"2013-08-13 11_22_28","3747","3601","39"
"2013-08-13 11_22_29","3292","3601","16"
"2013-08-13 11_22_29","887","1196","30"
"2013-08-13 11_22_29","3169","3703","22"
"2013-08-13 11_22_30","3318","4101","28"
"2013-08-13 11_22_30","3318","4104","23"
"2013-08-13 11_22_31","3292","4100","13"
"2013-08-13 11_22_31","3318","4113","12"
"2013-08-13 11_22_32","2889","4092","18"
"2013-08-13 11_22_32","2889","4201","27"
"2013-08-13 11_22_33","2889","4088","15"
"2013-08-13 11_22_33","2889","4097","35"
"2013-08-13 11_22_34","2740","4095","17"
"2013-08-13 11_22_34","2889","4115","38"
"2013-08-13 11_22_35","2889","4099","11"
"2013-08-13 11_22_35","2889","4104","36"
"2013-08-13 11_22_36","2889","4204","20"
"2013-08-13 11_22_36","2889","4107","33"
"2013-08-13 11_22_37","2889","4099","25"
"2013-08-13 11_22_37","2889","4194","21"
"2013-08-13 11_22_38","2889","4142","24"
"2013-08-13 11_22_38","2889","4098","29"
"2013-08-13 11_22_39","2889","4100","31"
"2013-08-13 11_22_39","2889","4200","37"
"2013-08-13 11_22_40","2889","4103","34"
"2013-08-13 11_22_40","3318","4200","32"
"2013-08-13 11_22_41","3169","4101","14"
"2013-08-13 11_22_41","3318","4101","26"
"2013-08-13 11_22_42","3318","4099","40"
"2013-08-13 11_22_42","3633","4100","19"
"2013-08-13 11_22_42","865","1000","12"
"2013-08-13 11_22_43","3633","4199","39"
"2013-08-13 11_22_43","3318","4097","16"
"2013-08-13 11_22_44","3633","4299","30"
"2013-08-13 11_22_44","3318","4605","22"
"2013-08-13 11_22_45","3747","4600","28"
"2013-08-13 11_22_45","3318","4599","23"
"2013-08-13 11_22_46","3318","4600","13"
"2013-08-13 11_22_46","3318","4196","18"
"2013-08-13 11_22_47","3318","4101","27"
"2013-08-13 11_22_47","755","909","20"
"2013-08-13 11_22_47","3318","4091","15"
"2013-08-13 11_22_48","3318","4101","35"
"2013-08-13 11_22_48","3318","4101","17"
"2013-08-13 11_22_49","3318","4103","38"
"2013-08-13 11_22_49","3318","4107","11"
"2013-08-13 11_22_50","3318","4091","36"
"2013-08-13 11_22_50","3318","3601","33"
"2013-08-13 11_22_51","3747","3606","25"
"2013-08-13 11_22_51","3318","3609","21"
"2013-08-13 11_22_52","3318","3578","24"
"2013-08-13 11_22_52","3318","3604","29"
"2013-08-13 11_22_53","3318","3601","31"
"2013-08-13 11_22_53","3318","3604","37"
"2013-08-13 11_22_54","3633","3577","34"
"2013-08-13 11_22_54","3747","3607","32"
"2013-08-13 11_22_55","3747","3601","14"
"2013-08-13 11_22_55","887","1200","16"
"2013-08-13 11_22_55","3747","3611","26"
"2013-08-13 11_22_56","3747","3598","40"
"2013-08-13 11_22_56","3318","3700","19"
"2013-08-13 11_22_57","3318","3700","12"
"2013-08-13 11_22_57","3318","4103","39"
"2013-08-13 11_22_58","3318","3602","30"
"2013-08-13 11_22_58","3318","3599","22"
"2013-08-13 11_22_59","3318","3609","28"
"2013-08-13 11_22_59","3318","3601","23"
"2013-08-13 11_23_00","3318","3595","13"
"2013-08-13 11_23_00","3318","3601","18"
"2013-08-13 11_23_01","2889","3600","27"
"2013-08-13 11_23_01","3318","3800","20"
"2013-08-13 11_23_02","2889","4097","15"
"2013-08-13 11_23_02","2889","4101","35"
"2013-08-13 11_23_03","2889","4096","17"
"2013-08-13 11_23_03","887","999","24"
"2013-08-13 11_23_03","2889","4202","38"
"2013-08-13 11_23_04","2889","4097","11"
"2013-08-13 11_23_04","2889","4098","36"
"2013-08-13 11_23_05","2889","4099","33"
"2013-08-13 11_23_05","2889","4207","25"
"2013-08-13 11_23_06","2889","4200","21"
"2013-08-13 11_23_06","2889","3586","29"
"2013-08-13 11_23_07","2889","3635","31"
"2013-08-13 11_23_07","887","1001","40"
"2013-08-13 11_23_07","3204","3602","37"
"2013-08-13 11_23_08","3318","3597","34"
"2013-08-13 11_23_08","2889","3600","32"
"2013-08-13 11_23_09","2884","3698","14"
"2013-08-13 11_23_09","2889","3996","16"
"2013-08-13 11_23_10","2889","4201","26"
"2013-08-13 11_23_10","2889","3601","19"
"2013-08-13 11_23_11","2771","3600","12"
"2013-08-13 11_23_11","2889","3599","39"
"2013-08-13 11_23_12","3204","3699","30"
"2013-08-13 11_23_12","3318","3600","22"
"2013-08-13 11_23_13","3318","3601","28"
"2013-08-13 11_23_13","3318","3625","23"
"2013-08-13 11_23_14","3318","3600","13"
"2013-08-13 11_23_14","3318","3599","18"
"2013-08-13 11_23_15","3318","3601","27"
"2013-08-13 11_23_15","3318","3598","20"
"2013-08-13 11_23_16","3318","3601","15"
"2013-08-13 11_23_16","3318","3700","35"
"2013-08-13 11_23_17","2889","3599","17"
"2013-08-13 11_23_17","2889","3798","24"
"2013-08-13 11_23_18","2889","4105","38"
"2013-08-13 11_23_18","2889","4101","11"
"2013-08-13 11_23_19","2889","4200","36"
"2013-08-13 11_23_19","2889","4099","33"
"2013-08-13 11_23_20","2889","4105","25"
"2013-08-13 11_23_20","3318","4101","21"
"2013-08-13 11_23_21","3318","4100","29"
"2013-08-13 11_23_21","2889","4099","31"
"2013-08-13 11_23_22","2889","4201","40"
"2013-08-13 11_23_22","3318","4604","37"
"2013-08-13 11_23_23","2889","4599","34"
"2013-08-13 11_23_23","2889","4700","32"
"2013-08-13 11_23_24","2889","4607","14"
"2013-08-13 11_23_24","2889","4599","16"
"2013-08-13 11_23_25","2889","4701","26"
"2013-08-13 11_23_25","2889","4599","19"
"2013-08-13 11_23_26","2889","4600","12"
"2013-08-13 11_23_26","2889","4599","39"
"2013-08-13 11_23_27","2889","4703","30"
"2013-08-13 11_23_27","2889","4600","22"
"2013-08-13 11_23_28","2889","4601","28"
"2013-08-13 11_23_28","2889","4618","23"
"2013-08-13 11_23_29","3204","4601","13"
"2013-08-13 11_23_29","3318","4600","18"
"2013-08-13 11_23_30","3318","4600","27"
"2013-08-13 11_23_30","3318","4603","20"
"2013-08-13 11_23_31","3318","4599","15"
"2013-08-13 11_23_31","3318","4618","35"
"2013-08-13 11_23_32","3318","4600","17"
"2013-08-13 11_23_32","3318","4597","24"
"2013-08-13 11_23_33","3633","4599","38"
"2013-08-13 11_23_33","3747","4601","11"
"2013-08-13 11_23_34","3747","4699","36"
"2013-08-13 11_23_34","3747","4601","33"
"2013-08-13 11_23_35","3747","4600","25"
"2013-08-13 11_23_35","3747","4601","21"
"2013-08-13 11_23_36","3747","4599","29"
"2013-08-13 11_23_36","3747","4599","31"
"2013-08-13 11_23_37","3747","4603","40"
"2013-08-13 11_23_37","3742","4600","37"
"2013-08-13 11_23_38","3747","4716","34"
"2013-08-13 11_23_38","3747","4607","32"
"2013-08-13 11_23_39","3747","4594","14"
"2013-08-13 11_23_39","3747","4706","16"
"2013-08-13 11_23_40","3747","4579","26"
"2013-08-13 11_23_40","3747","4598","19"
"2013-08-13 11_23_41","3747","4604","12"
"2013-08-13 11_23_41","3747","4604","39"
"2013-08-13 11_23_42","3747","4619","30"
"2013-08-13 11_23_42","3747","4601","22"
"2013-08-13 11_23_43","3747","4600","28"
"2013-08-13 11_23_43","3747","4600","23"
"2013-08-13 11_23_44","3747","4583","13"
"2013-08-13 11_23_44","3598","4698","18"
"2013-08-13 11_23_45","3747","4618","27"
"2013-08-13 11_23_45","3747","4600","20"
"2013-08-13 11_23_46","3747","4607","15"
"2013-08-13 11_23_46","3747","4600","35"
"2013-08-13 11_23_47","3747","4585","17"
"2013-08-13 11_23_47","3747","4600","24"
"2013-08-13 11_23_48","3747","4602","38"
"2013-08-13 11_23_48","3742","4611","11"
"2013-08-13 11_23_49","3747","4600","36"
"2013-08-13 11_23_49","3747","4600","33"
"2013-08-13 11_23_50","3747","4599","25"
"2013-08-13 11_23_50","3747","4600","21"
"2013-08-13 11_23_51","3747","4585","29"
"2013-08-13 11_23_51","3747","4601","31"
"2013-08-13 11_23_52","3747","4591","40"
"2013-08-13 11_23_52","3747","4600","37"
"2013-08-13 11_23_53","3747","4600","34"
"2013-08-13 11_23_53","3747","4698","32"
"2013-08-13 11_23_54","3747","4697","14"
"2013-08-13 11_23_54","3747","4598","16"
"2013-08-13 11_23_55","4176","4600","26"
"2013-08-13 11_23_55","865","1005","13"
"2013-08-13 11_23_55","3742","4601","19"
"2013-08-13 11_23_56","3747","4699","12"
"2013-08-13 11_23_56","3747","4613","39"
"2013-08-13 11_23_57","3747","4598","30"
"2013-08-13 11_23_57","3747","4600","22"
"2013-08-13 11_23_58","3747","4600","28"
"2013-08-13 11_23_58","3721","4590","23"
"2013-08-13 11_23_59","3747","4100","18"
"2013-08-13 11_23_59","3747","4094","27"
"2013-08-13 11_24_00","3747","4102","20"
"2013-08-13 11_24_00","3747","4102","15"
"2013-08-13 11_24_01","3747","4102","35"
"2013-08-13 11_24_01","3747","4213","17"
"2013-08-13 11_24_02","3747","4210","24"
"2013-08-13 11_24_02","3747","4101","38"
"2013-08-13 11_24_03","3747","4113","11"
"2013-08-13 11_24_03","3747","4100","36"
"2013-08-13 11_24_04","3747","4201","33"
"2013-08-13 11_24_04","3747","4097","25"
"2013-08-13 11_24_05","3747","4100","21"
"2013-08-13 11_24_05","3747","4117","29"
"2013-08-13 11_24_06","3747","4101","31"
"2013-08-13 11_24_06","3747","4097","40"
"2013-08-13 11_24_07","3747","4100","37"
"2013-08-13 11_24_07","3747","4101","34"
"2013-08-13 11_24_08","3747","4144","32"
"2013-08-13 11_24_08","3747","4102","14"
"2013-08-13 11_24_09","3747","4101","16"
"2013-08-13 11_24_09","3318","4101","26"
"2013-08-13 11_24_10","3747","4295","13"
"2013-08-13 11_24_10","3318","4700","19"
"2013-08-13 11_24_11","3318","4605","12"
"2013-08-13 11_24_11","3318","4599","39"
"2013-08-13 11_24_12","3318","4625","30"
"2013-08-13 11_24_12","3318","4600","22"
"2013-08-13 11_24_13","3318","4597","28"
"2013-08-13 11_24_13","3318","4597","23"
"2013-08-13 11_24_14","3292","4584","18"
"2013-08-13 11_24_14","3318","4600","27"
"2013-08-13 11_24_15","3269","4612","20"
"2013-08-13 11_24_15","3318","4603","15"
"2013-08-13 11_24_16","3318","4710","35"
"2013-08-13 11_24_16","3318","4599","17"
"2013-08-13 11_24_17","3318","4603","24"
"2013-08-13 11_24_17","3318","4600","38"
"2013-08-13 11_24_18","3318","4605","11"
"2013-08-13 11_24_18","3318","4735","36"
"2013-08-13 11_24_19","3318","4600","33"
"2013-08-13 11_24_19","3318","4599","25"
"2013-08-13 11_24_20","3318","4600","21"
"2013-08-13 11_24_20","3318","4589","29"
"2013-08-13 11_24_21","3633","4600","31"
"2013-08-13 11_24_21","3747","4599","40"
"2013-08-13 11_24_22","3747","4582","37"
"2013-08-13 11_24_22","3747","4607","34"
"2013-08-13 11_24_23","3747","4598","32"
"2013-08-13 11_24_23","3747","4600","14"
"2013-08-13 11_24_24","3747","4704","16"
"2013-08-13 11_24_24","3747","4595","26"
"2013-08-13 11_24_25","3747","4603","13"
"2013-08-13 11_24_25","3747","4606","19"
"2013-08-13 11_24_26","3747","4601","12"
"2013-08-13 11_24_26","3747","4615","39"
"2013-08-13 11_24_27","3747","4588","30"
"2013-08-13 11_24_27","3747","4601","22"
"2013-08-13 11_24_27","887","1001","17"
"2013-08-13 11_24_28","3747","4604","28"
"2013-08-13 11_24_28","3747","4600","23"
"2013-08-13 11_24_29","3747","4600","18"
"2013-08-13 11_24_29","3747","4713","27"
"2013-08-13 11_24_30","3747","4601","20"
"2013-08-13 11_24_30","3747","4600","15"
"2013-08-13 11_24_31","3747","4600","35"
"2013-08-13 11_24_31","3747","4097","24"
"2013-08-13 11_24_32","3747","4202","38"
"2013-08-13 11_24_32","3747","4101","11"
"2013-08-13 11_24_33","3747","4075","36"
"2013-08-13 11_24_33","3747","4196","33"
"2013-08-13 11_24_34","3747","4101","25"
"2013-08-13 11_24_34","3747","4081","21"
"2013-08-13 11_24_35","3747","4091","29"
"2013-08-13 11_24_35","3747","4109","31"
"2013-08-13 11_24_36","3747","4100","40"
"2013-08-13 11_24_36","3747","4100","37"
"2013-08-13 11_24_37","3747","4102","34"
"2013-08-13 11_24_37","3747","4103","32"
"2013-08-13 11_24_38","3747","4100","14"
"2013-08-13 11_24_38","3747","4100","16"
"2013-08-13 11_24_39","3747","4099","26"
"2013-08-13 11_24_39","3747","4109","13"
"2013-08-13 11_24_40","3747","4101","19"
"2013-08-13 11_24_40","3747","4199","12"
"2013-08-13 11_24_41","3747","4121","39"
"2013-08-13 11_24_41","3747","4100","30"
"2013-08-13 11_24_42","3318","4103","22"
"2013-08-13 11_24_42","3318","4199","28"
"2013-08-13 11_24_43","3318","4697","17"
"2013-08-13 11_24_43","3318","4610","23"
"2013-08-13 11_24_44","3318","4586","18"
"2013-08-13 11_24_44","3318","4600","27"
"2013-08-13 11_24_45","3318","4700","20"
"2013-08-13 11_24_45","3318","4601","15"
"2013-08-13 11_24_46","3318","4583","35"
"2013-08-13 11_24_46","3318","4599","24"
"2013-08-13 11_24_47","3318","4598","38"
"2013-08-13 11_24_47","3318","4604","11"
"2013-08-13 11_24_48","3318","4586","36"
"2013-08-13 11_24_48","3318","4601","33"
"2013-08-13 11_24_49","3318","4599","25"
"2013-08-13 11_24_49","3318","4600","21"
"2013-08-13 11_24_50","3318","4601","29"
"2013-08-13 11_24_50","3318","4619","31"
"2013-08-13 11_24_51","3318","4575","40"
"2013-08-13 11_24_51","3318","4599","37"
"2013-08-13 11_24_52","3318","4600","34"
"2013-08-13 11_24_52","3318","4600","32"
"2013-08-13 11_24_53","3318","4602","14"
"2013-08-13 11_24_53","3633","4701","16"
"2013-08-13 11_24_54","3747","4601","26"
"2013-08-13 11_24_54","3747","4597","13"
"2013-08-13 11_24_55","3747","4606","19"
"2013-08-13 11_24_55","3747","4600","12"
"2013-08-13 11_24_56","3747","4700","39"
"2013-08-13 11_24_56","3747","4599","30"
"2013-08-13 11_24_57","3747","4570","22"
"2013-08-13 11_24_57","3747","4604","28"
"2013-08-13 11_24_58","3747","4615","17"
"2013-08-13 11_24_58","3747","4587","23"
"2013-08-13 11_24_59","3747","4583","18"
"2013-08-13 11_24_59","3747","4594","27"
"2013-08-13 11_25_00","3747","4607","20"
"2013-08-13 11_25_00","3747","4601","15"
"2013-08-13 11_25_01","3747","4665","35"
"2013-08-13 11_25_01","3747","4701","24"
"2013-08-13 11_25_02","3747","4614","38"
"2013-08-13 11_25_02","3747","4600","11"
"2013-08-13 11_25_03","3747","4610","36"
"2013-08-13 11_25_03","3747","4571","33"
"2013-08-13 11_25_04","3747","4646","25"
"2013-08-13 11_25_04","3747","4645","21"
"2013-08-13 11_25_05","3747","4590","29"
"2013-08-13 11_25_05","3747","4600","31"
"2013-08-13 11_25_06","3747","4602","40"
"2013-08-13 11_25_06","3747","4603","37"
"2013-08-13 11_25_07","3747","4716","34"
"2013-08-13 11_25_07","3747","4574","32"
"2013-08-13 11_25_08","3747","4601","14"
"2013-08-13 11_25_08","3747","4600","16"
"2013-08-13 11_25_09","3747","4591","26"
"2013-08-13 11_25_09","3747","4619","13"
"2013-08-13 11_25_10","3747","4600","19"
