time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-09-09 15_05_07","52817","115386","153",";97;73"
"2013-09-09 15_05_08","51566","114370","262",";81;76"
"2013-09-09 15_05_09","51498","114016","289",";49;88"
"2013-09-09 15_05_09","51151","76021","272",";97;11"
"2013-09-09 15_05_10","51148","191601","274",";46;64"
"2013-09-09 15_05_12","53783","234346","207",";81;58"
"2013-09-09 15_05_16","47770","163816","104",";97;80"
"2013-09-09 15_05_20","52915","53015","152",";97;34"
"2013-09-09 15_05_22","52343","90349","203",";46;61"
"2013-09-09 15_05_38","46586","503833","117",";46;96"
"2013-09-09 15_05_42","48945","69175","206",";49;65"
"2013-09-09 15_05_47","51620","147235","244",";49;76"
"2013-09-09 15_05_48","52817","155860","275",";97;73"
"2013-09-09 15_05_48","49128","514873","108",";36;88"
"2013-09-09 15_05_49","52236","113212","264",";81;11"
"2013-09-09 15_05_49","52752","78193","143",";81;64"
"2013-09-09 15_05_52","47770","70349","118",";97;80"
"2013-09-09 15_06_01","54000","89985","113",";81;34"
"2013-09-09 15_06_03","52343","130775","218",";46;61"
"2013-09-09 15_06_13","46586","539074","177",";46;96"
"2013-09-09 15_06_18","48891","106528","287",";81;65"
"2013-09-09 15_06_25","49962","175982","126",";46;76"
"2013-09-09 15_06_26","49128","553371","121",";36;88"
